,id,datetime,club_home,club_away,goal_home,goal_away,result,result_away,xG,xGA,xPoints,xPointsAway
148,19795,2022-11-13 16:05:00,Strasbourg,Lorient,1,1,1,1,1.84883,0.877509,2.1366,0.6147
149,19788,2022-11-13 19:45:00,Monaco,Marseille,2,3,0,3,1.52658,2.71425,0.577,2.2270000000000003
150,19798,2022-12-28 14:00:00,Ajaccio,Angers,1,0,3,0,1.68567,2.13447,1.0116,1.7277
151,19807,2022-12-28 14:00:00,Troyes,Nantes,0,0,1,1,0.202598,1.70731,0.23559999999999998,2.6101
152,19799,2022-12-28 16:00:00,Auxerre,Monaco,2,3,0,3,1.32986,1.36064,1.2814999999999999,1.3607
153,19800,2022-12-28 18:00:00,Clermont Foot,Lille,0,2,0,3,0.511123,1.79335,0.3852,2.4236999999999997
154,19804,2022-12-28 20:00:00,Paris Saint Germain,Strasbourg,2,1,3,0,2.11764,1.1354,2.1546,0.6165
155,19805,2022-12-28 20:00:00,Brest,Lyon,2,4,0,3,1.1351,3.18501,0.2995,2.5906
156,19801,2022-12-29 16:00:00,Lorient,Montpellier,0,2,0,3,1.13229,1.99935,0.7502,2.0165
157,19806,2022-12-29 18:00:00,Reims,Rennes,3,1,3,0,1.37243,1.56704,1.1909999999999998,1.5105000000000002
158,19802,2022-12-29 20:00:00,Nice,Lens,0,0,1,1,1.19572,1.17989,1.3636,1.3371999999999997
159,19803,2022-12-29 20:00:00,Marseille,Toulouse,6,1,3,0,3.90797,1.73074,2.676,0.228
160,19808,2023-01-01 14:00:00,Monaco,Brest,1,0,3,0,1.11357,0.984132,1.4682999999999997,1.222
161,19809,2023-01-01 14:00:00,Angers,Lorient,1,2,0,3,2.17455,0.44019,2.6426,0.2348
162,19810,2023-01-01 14:00:00,Nantes,Auxerre,1,0,3,0,0.870785,0.940771,1.2489,1.4034
163,19817,2023-01-01 14:00:00,Toulouse,Ajaccio,2,0,3,0,1.33519,0.0445009,2.5315,0.2482
164,19813,2023-01-01 16:00:00,Lyon,Clermont Foot,0,1,0,3,0.736196,1.2056,0.8239,1.8624999999999998
165,19814,2023-01-01 19:45:00,Lens,Paris Saint Germain,3,1,3,0,1.79816,1.97764,1.2247,1.5120999999999998
166,19815,2023-01-02 14:00:00,Strasbourg,Troyes,2,3,0,3,1.15328,1.32781,1.1867999999999999,1.5198
167,19811,2023-01-02 16:00:00,Lille,Reims,1,1,1,1,2.68973,1.23599,2.3492,0.4787
168,19812,2023-01-02 18:00:00,Montpellier,Marseille,1,2,0,3,1.10931,1.33992,1.1965,1.4845
169,19816,2023-01-02 20:00:00,Rennes,Nice,2,1,3,0,1.78181,0.395975,2.4254999999999995,0.3789
170,19818,2023-01-11 18:00:00,Ajaccio,Reims,0,1,0,3,0.812868,1.16269,0.8996999999999999,1.6752
171,19819,2023-01-11 18:00:00,Auxerre,Toulouse,0,5,0,3,1.19864,2.32789,0.6041,2.2049
172,19820,2023-01-11 18:00:00,Clermont Foot,Rennes,2,1,3,0,1.92657,0.900551,2.25,0.5288999999999999
173,19822,2023-01-11 18:00:00,Nantes,Lyon,0,0,1,1,1.23816,0.716341,1.7887,0.9076
174,19826,2023-01-11 18:00:00,Brest,Lille,0,0,1,1,0.567145,0.952742,0.9595,1.6788999999999998
175,19821,2023-01-11 20:00:00,Lorient,Monaco,2,2,1,1,1.40735,1.61598,1.2210999999999999,1.4998
176,19823,2023-01-11 20:00:00,Nice,Montpellier,6,1,3,0,3.47658,0.226284,2.9373,0.037500000000000006
177,19824,2023-01-11 20:00:00,Paris Saint Germain,Angers,2,0,3,0,1.66271,0.341443,2.4517,0.3526
178,19825,2023-01-11 20:00:00,Strasbourg,Lens,2,2,1,1,1.15467,1.5001,1.1207,1.6028
179,19827,2023-01-11 20:00:00,Troyes,Marseille,0,2,0,3,0.207647,2.65167,0.0698,2.882
180,19834,2023-01-14 16:00:00,Lens,Auxerre,1,0,3,0,1.69501,0.171617,2.7079999999999997,0.1733
181,19833,2023-01-14 18:00:00,Marseille,Lorient,3,1,3,0,2.03482,0.491556,2.5796,0.2777
182,19832,2023-01-14 20:00:00,Lyon,Strasbourg,1,2,0,3,2.46849,1.15481,2.3662,0.42789999999999995
183,19830,2023-01-15 12:00:00,Lille,Troyes,5,1,3,0,4.30681,0.981489,2.8848,0.0759
184,19829,2023-01-15 14:00:00,Angers,Clermont Foot,1,2,0,3,0.394709,2.1061,0.1245,2.7786000000000004
185,19831,2023-01-15 14:00:00,Montpellier,Nantes,0,3,0,3,1.10849,0.903599,1.5178,1.1662
186,19836,2023-01-15 14:00:00,Reims,Nice,0,0,1,1,0.97535,0.670589,1.5982,1.0591
187,19837,2023-01-15 14:00:00,Toulouse,Brest,1,1,1,1,1.54762,0.754561,2.0178000000000003,0.7323
188,19828,2023-01-15 16:05:00,Monaco,Ajaccio,7,1,3,0,4.16711,0.215581,2.9919000000000002,0.0051
189,19835,2023-01-15 19:45:00,Rennes,Paris Saint Germain,1,0,3,0,1.06256,0.603085,1.7572999999999999,0.9097999999999999
190,19841,2023-01-27 20:00:00,Lorient,Rennes,2,1,3,0,0.989121,1.94175,0.6442,2.1079
191,19847,2023-01-28 16:00:00,Troyes,Lens,1,1,1,1,0.937263,2.43445,0.32989999999999997,2.5055
192,19843,2023-01-28 20:00:00,Marseille,Monaco,1,1,1,1,1.772,1.55187,1.5038,1.2038
193,19842,2023-01-29 12:00:00,Nice,Lille,1,0,3,0,1.38874,2.06969,0.8948999999999999,1.869
194,19839,2023-01-29 14:00:00,Auxerre,Montpellier,0,2,0,3,1.78521,0.78685,2.1966,0.5502
195,19840,2023-01-29 14:00:00,Clermont Foot,Nantes,0,0,1,1,0.639165,0.124573,1.8169999999999997,0.6880999999999999
196,19845,2023-01-29 14:00:00,Strasbourg,Toulouse,1,2,0,3,0.899943,2.05016,0.5168,2.2895000000000003
197,19846,2023-01-29 14:00:00,Brest,Angers,4,0,3,0,1.62079,1.00144,1.9452,0.7176
198,19838,2023-01-29 16:05:00,Ajaccio,Lyon,0,2,0,3,1.44596,2.02729,0.8774,1.8533
199,19844,2023-01-29 19:45:00,Paris Saint Germain,Reims,1,1,1,1,1.99468,1.6335,1.639,1.1116
200,19849,2023-02-01 18:00:00,Angers,Ajaccio,1,2,0,3,0.413798,1.18715,0.6087,2.1039
201,19850,2023-02-01 18:00:00,Nantes,Marseille,0,2,0,3,1.40304,1.94315,0.9575,1.7882
